"","cod","nome_muni","uf","pib_per_capita_corrente_2017","ativ_maior_vab_2017","ativ_segundo_maior_vab_2017","ativ_terceiro_maior_vab_2017","ibge_gini_2010","class_pib_per_capita_2017","class_ibge_gini_2010"
"1",1502152,"Canaã dos Carajás","PA",113457.46,"Indústrias extrativas","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social",0.5686,"Muito Alto","Médio Alto"
"2",1502772,"Curionópolis","PA",49264.26,"Indústrias extrativas","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social",0.5527,"Muito Alto","Médio Baixo"
"3",1503903,"Juruti","PA",18567.55,"Indústrias extrativas","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.603,"Médio Alto","Alto"
"4",1504208,"Marabá","PA",31650.18,"Indústrias extrativas","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social",0.5978,"Alto","Alto"
"5",1505304,"Oriximiná","PA",23921.23,"Indústrias extrativas","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social",0.6535,"Alto","Muito Alto"
"6",1505502,"Paragominas","PA",26810.43,"Indústrias extrativas","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social",0.6151,"Alto","Alto"
"7",1505536,"Parauapebas","PA",91086.52,"Indústrias extrativas","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social",0.5452,"Muito Alto","Médio Baixo"
"8",1507979,"Terra Santa","PA",28878.63,"Indústrias extrativas","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social",0.5931,"Alto","Médio Alto"
"9",2106003,"Lima Campos","MA",12888.02,"Indústrias extrativas","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.5596,"Médio Baixo","Médio Baixo"
"10",1301209,"Coari","AM",15580.35,"Administração, defesa, educação e saúde públicas e seguridade social","Indústrias extrativas","Demais serviços",0.6234,"Médio Alto","Alto"
"11",1503457,"Ipixuna do Pará","PA",8692.03,"Administração, defesa, educação e saúde públicas e seguridade social","Indústrias extrativas","Demais serviços",0.5863,"Médio Baixo","Médio Alto"
"12",2102754,"Capinzal do Norte","MA",12253.01,"Administração, defesa, educação e saúde públicas e seguridade social","Indústrias extrativas","Demais serviços",0.5735,"Médio Baixo","Médio Alto"
